movie_name,id,short_comment,score,comment_time,votes
神奇动物：邓布利多之谜,松果胡桃木,GG从来不觉得血盟会碎 他看到血盟碎掉的一瞬间的惊愕我的心也碎了🚬 （总体来说不值5星但是我觉得比2好多了）,5,2022-04-14 06:29:01,20
神奇动物：邓布利多之谜,Ashely星石,我觉得好好看！！但是好为小邓布利多难过（如果有时间，我一定看看书📖）,5,2022-04-08 22:51:20,11
神奇动物：邓布利多之谜,关掉电视吧,FB系列目前最喜欢的一部 麦子来演GG真的太好了,5,2022-04-08 21:07:04,16
神奇动物：邓布利多之谜,冰激凌红茶,到霍格沃茨的时候熟悉的bgm响起真的爷青回 服化道精美 年轻时候的麦格教授好漂亮 麒麟好可爱 欢迎奎妮回归 最后邓布利多孤身一人走在街上呜呜呜,5,2022-04-09 14:10:03,29
神奇动物：邓布利多之谜,AURORA,说好给3星的还是要+🌟！只为了那句”谁还会爱你邓布利多”！ggad越回味越上头～剩下要夸奖龙虾🦞之舞精彩片段堪称堪称全剧高潮。麒麟造型不是白色不是龙衍生感觉功课做歪了…最后：搞事业搞政治的格林沃德高贵leader果然不如淫威施压洗脑邪教伏地魔大人来的有霸权感！希望后几部能拍的紧凑&逻辑更透一些。以及，没有彩蛋。,4,2022-04-11 23:18:46,4
神奇动物：邓布利多之谜,…………,虽然不知道神奇动物去哪里了？但是嗯魔法世界快乐就好...,4,2022-04-08 23:10:20,3
神奇动物：邓布利多之谜,趁热拿铁,太好看了！,5,2022-04-11 16:11:03,1
神奇动物：邓布利多之谜,Ciciyuuuu,两个邓布利多决斗的时候 我高喊：是邓布利多杀了邓布利多！,4,2022-04-08 22:29:56,7
神奇动物：邓布利多之谜,carried,两年半没进电影院了，结果整个AVX厅八个人包场。也许期望值够低吧，体验还可以，更想读正儿八经写成的书。,4,2022-04-21 06:54:14,1
神奇动物：邓布利多之谜,Jade_w,需要理由吗？,5,2022-06-22 11:55:25,7
神奇动物：邓布利多之谜,桑菲尔德,其实还挺好看的XD,4,2022-04-09 17:13:32,1
神奇动物：邓布利多之谜,米饭先生,巫师决斗太绝，就是有点儿快，火蝎子跳舞牛逼。,4,2022-04-09 22:28:05,1
神奇动物：邓布利多之谜,猛汉世雄,剧情未免也太过简单了，你们魔法世界的斗争好幼稚哦！但我不！介！意！而且我更喜欢麦叔版的格林德沃，因为更加阴郁，而且终于不像蹩脚的视觉系摇滚艺人了。这一集的斯卡曼德兄弟组让我吃得很香，谢谢招待！,4,2022-07-28 10:47:36,2
神奇动物：邓布利多之谜,Fine,加一星给复工的影院,4,2022-04-30 23:20:54,1
神奇动物：邓布利多之谜,褪色的蝴蝶结,比上一部好看，交代清楚了默默然的身世之谜，所以片名指的是邓布利多弟弟的秘密，全片又靠嗅嗅制造了笑点，本来没有德普还有点遗憾，但拔叔演反派手到擒来，感觉根本没发挥，剧情还算比较完整，好想去漓江坐竹筏子呀,4,2022-04-10 23:06:13,1
神奇动物：邓布利多之谜,iYolanda,大型离婚现场 小型结婚现场 万磁王表示想跟我比排面是吧and 果然还是删减了那句“I was in love with you.”我很想只给三星 但为了这俩人要甜死了的对视…… 知道自己老相好没被着自己找别人 摸着对方的胸口听心跳…… BTW 邓布利多和麦格教授的口音怎么了…… 爱尔兰吗 麦格的完全就是纯爱尔兰人,4,2022-04-08 15:44:54,5
神奇动物：邓布利多之谜,爱与污秽凄苦,挺好看的啊，比上一部好多了，至少我没睡着，还觉得挺想看下去的。很多类似的电影连让人看下去的耐心都没有。,4,2022-04-21 23:34:30,1
神奇动物：邓布利多之谜,Risa-Risa,为什么评分这么低！摸心跳真的太基了…但是他俩好硬啊为什么！！！不过我确实更偏爱麦叔的格林德沃 比德普的有化学反应一点…,5,2022-07-20 01:46:45,8
神奇动物：邓布利多之谜,今日店休,从电影表现角度我还挺喜欢 和你讲精彩 情节比较清晰明白，但是感觉太简洁，这集主题很清晰，但是这个系列主题比较散 ,4,2022-04-10 02:20:01,0
神奇动物：邓布利多之谜,克拉許crash,竟然被感动了，会用眼神演戏真的很重要。中文译名应该翻成，邓布利多家的秘密才对吧，整个误会大了。,4,2022-04-15 23:00:43,1
